project,submersible,evaluation,distribution,study,transport,handling,physiology,physiological,orthophotography,mapping,management,evaluation,conservation,development,plan,outreach,colonization,law,wedge-wire,demography,helicopter,plumage,implantation,hatchery-reared,diet,propagation,dispersal,colorimeter,video,vocalization,distribution,sherman,sigmodon,open-cup,treatment,biomass,taxonomic,sampled,scanned,translocation,broodstock,absence,presence,terrestrial,drawdown,boat,band,hydrology,hydrological,ves,fertilizer,limnological,turbidity,sur,hydrophone,cover,harp,swim,chamber,restoration,depth,hoop,dimorphism,call-playback,banded,banding,imaging,aerial,repatriation,passive,active,implantation,sonic,fyke,tag,pit,toxicity,visual,aging,pectoral,fin,sexed,trammel,mist-netting,netted,demography,post-stocking,telemetry,shannon-wiener,diversity,epa,anova,abiotic,clearing,monitoring,survey,singing,display,search,creation,restoration,population,acoustic,recruitment,gis,satellite,map,disease,swimming,growth,mass,height,weight,weighed,density,moisture,temperature,trial,treatment,tolerance,mortality,netting,transponder,trapping,trap,capture,captured,release,mark,recapture,mark-recapture,electrofishing,sampling,double-sampling,transmitters,tagging,tagged,track,tracking,transect,sensor,photo,photograph,photography,genetic,dna,mtdna,microsatellites,haplotype,tissue,cell,microscope,planting,fungus,survivorship,stocking,spawning,habitat,nest,nesting,eggs,predation,predator,prey,breeding,survival,foraging,fertilization,fire,oxygen,nitrogen,carbon,potassium,phosphorous,ammonia,formalin,salinity,nitrate,nitrite,acid,alkalinity,arsenic,selenium,conductivity,biomass,pozzolan,lassenite,humidity
abiotic,0,0,0,0.003541269,0,0,0,0,0,0,0,0,0.004358485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008716971,0,0.001906837,0,0,0,0,0,0,0,0,0,0,0,0,0.006265323,0,0,0,0,0,0,0,0,0.006537728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001089621,0,0,0,0,0,0,0,0.006537728,0,0,0,0,0,0,0,0,0,0.010623808,0,0.000817216,0.001906837,0,0,0,0,0,0,0,0,0,0,0.004630891,0.001634432,0.001634432,0,0,0,0,0,0.001906837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001089621,0,0.001362027,0,0,0,0,0.002179243,0,0,0,0,0,0.001906837,0,0,0,0.001089621,0,0,0.025606102,0,0,0,0,0,0,0,0,0.000817216,0,0,0,0,0.008716971,0,0,0
b1,0,0,0,0,0,0,0,0,0,0,0,0,0.00337952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001351808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001351808,0,0,0,0,0,0,0,0,0,0,0,0.003041568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001013856,0.001013856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001351808,0,0,0,0,0,0,0,0,0,0,0,0.00337952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bhco,0,0.000129613,0.00038884,0.002235832,0,0,0,0,0,0,0.00029163,0.000129613,0,0,0,0,0,0,0,0.00019442,0,0,0,0,0,0,0,0,0,0,0.00038884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00029163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00019442,0,0,0,0.000129613,0,0.000615664,0,0,0.002916302,0.001328538,0,0,0,0,0,0.000777681,0,9.72E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005411361,0.00019442,0.000226823,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000874891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001036907,0.008198049,0.000615664,0.002171025,0.001036907,0,0,0.001166521,9.72E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c10,0,0,0,0.002252615,0,0,0,0,0,0,0.002252615,0,0.007240547,0,0,0,0,0,0,0,0,0,0,0.001769912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000482703,0,0,0,0,0,0,0.001930813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000482703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027031376,0,0,0.001287208,0,0.001769912,0,0.001930813,0,0,0,0.001126307,0,0,0,0,0.000643604,0.000643604,0,0,0,0,0,0,0,0,0.000965406,0.006275141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002252615,0,0,0,0,0,0.003218021,0,0,0,0.012872084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c11,0,0.005162623,0.003097574,0.030459473,0,0.033040785,0.007743934,0.022199277,0,0,0.006195147,0.005162623,0.038203407,0.00464636,0.00464636,0,0,0,0,0,0,0,0,0.005162623,0.052142488,0.002581311,0,0,0,0,0.003097574,0,0,0,0.015487868,0,0,0.003097574,0,0,0.005678885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002581311,0,0,0,0.00464636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002065049,0,0,0,0.011874032,0,0.045431079,0.004130098,0,0.024264326,0,0.014971606,0.005162623,0.034589572,0.004130098,0.015487868,0,0,0,0,0,0,0,0,0.013422819,0,0,0,0,0.008260196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008776458,0,0,0,0,0,0.049561177,0.003613836,0.003613836,0,0,0,0.007227672,0.010841507,0,0,0.029426949,0,0,0,0.017552917,0,0,0.001548787,0,0.006711409,0,0,0,0.003097574,0.002065049,0,0,0,0,0,0,0,0
c12,0.000586114,0,0,0.009197475,0,0,0,0,0,0,0.002028855,0,0.003201082,0.000450857,0.000586114,0,0,0,0,0,0,0,0.000270514,0.000225428,0,0,0.003155996,0,0,0,0,0,0,0,0,0.000450857,0,0,0.001532913,0,0,0,0,0,0,0.001623084,0,0,0,0,0,0,0,0.003561767,0,0,0,0,0,0,0.001127142,0,0,0,0,0,0,0,0.00103697,0.000405771,0.004373309,0.000270514,0.004508566,0,0.007889991,0.00883679,0,0,0,0,0.000405771,0.000270514,0.000856628,0,0,0,0.007889991,0.007664563,0,0,0,0,0,0,0.006627592,0.000495942,0,0,0,0,0,0.00915239,0,0,0,0,0.000901713,0,0.000405771,0.002795311,0,0,0,0,0,0,0,0,0,0,0.003246168,0.000991885,0.000270514,0,0,0.003922453,0.003922453,0.012488729,0.000360685,0.001217313,0.003291253,0,0.001713255,0,0.004102795,0,0.005680794,0,0.001397656,0,0,0,0,0,0.000946799,0,0,0,0,0,0,0,0,0,0.002479711,0.007574391,0.000766456,0,0,0,0,0.001893598,0,0.000586114,0,0.01496844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000450857,0,0,0
c13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002418575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046501129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c14,0,0,0,0.001477541,0.004728132,0.001182033,0,0,0,0,0.007683215,0,0.012115839,0.001182033,0.006501182,0,0,0,0,0,0.000886525,0,0,0,0,0.005614657,0,0,0,0,0,0,0,0,0.004728132,0,0,0,0,0.003250591,0.001477541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00177305,0,0,0,0,0.002955083,0.00856974,0.002955083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00177305,0,0,0,0,0,0,0.021276596,0,0.001182033,0,0,0,0.002068558,0,0,0,0,0,0,0,0,0.004432624,0,0.004728132,0,0.000886525,0,0.00177305,0,0,0.001477541,0.001477541,0,0,0,0,0,0,0,0,0.006501182,0.003250591,0.001182033,0,0,0,0,0,0,0.005910165,0,0,0,0,0.001477541,0,0,0,0,0,0,0,0.001182033,0,0,0,0,0,0,0,0.005614657,0,0,0,0.002659574,0,0,0.003250591,0,0,0.001182033,0,0,0,0,0,0,0,0.001182033,0,0,0,0
c15,0.001029963,0,0.003745318,0.00571161,0,0,0,0,0,0,0.002059925,0,0.005898876,0,0.001872659,0,0,0.000374532,0,0,0,0,0,0,0,0,0,0,0,0,0.003745318,0,0,0,0,0,0,0.001872659,0,0,0,0.000280899,0.001685393,0,0,0.003370787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001217228,0,0,0,0,0,0,0.001029963,0,0.000374532,0.00093633,0,0.002808989,0,0.001404494,0.001029963,0,0.001217228,0.001966292,0.000561798,0.001404494,0,0.006928839,0,0,0,0,0.003651685,0,0,0,0,0,0,0.001217228,0.001029963,0,0,0,0,0,0.006086142,0,0.001685393,0.000561798,0,0.001966292,0,0,0,0,0,0.00093633,0.000280899,0,0,0,0,0,0,0,0.001498127,0.000374532,0,0,0.001217228,0.00411985,0,0,0,0.000842697,0.005243446,0.004775281,0,0.00159176,0,0.001779026,0,0.002808989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000749064,0.004962547,0.011329588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c16,0,0.005813316,0.000255932,0.000182809,5.48E-05,0.00020109,0,0,0,0,0.000383898,0.005813316,0.00021937,7.31E-05,0.000329056,0,0,0,0,0,0,0,0,0.000164528,0,0.000109685,0,0,0,0,0.000255932,0,0,0,0,0,0,0,0,0,0.000182809,0,0,0,0,0.000329056,0,0,0,0,0,0,0.000621549,0,0,7.31E-05,0,0,0,0.000365617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001389346,0.00063983,0,0,0,0,0,0,0,0,0,0,0.000310775,0.000109685,0,0,0,0,0,0,0.000146247,0.001425908,0,0,0,0,0.000365617,0.000237651,0,0,0,0,0.001096852,0,0,0.000182809,0,0,0.000127966,0,0,0,0.000548426,0,0,0,5.48E-05,0,0,0,0,0.00106029,0.00106029,0.000347336,0,0,0,0,0.002541041,0,0,5.48E-05,0.000146247,0,0.000127966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006983291,0.000438741,0,0,0,0,5.48E-05,0,0,0.000146247,0.000493583,0,0,0,0.000438741,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000255932,0,0,0,0
